Config,RMSE
"[5, 2, 20, 100, 0]",42.27622537216532
"[5, 1, 10, 50, 0]",42.28316426774901
"[5, 1, 10, 100, 0]",42.3536014859441
"[5, 1, 20, 50, 0]",42.38567928596722
"[5, 2, 10, 50, 0]",42.39403462769716
"[5, 2, 20, 50, 0]",42.58566181070163
"[5, 1, 30, 100, 0]",42.60189681762325
"[5, 1, 20, 100, 0]",42.63448301689325
"[3, 2, 10, 100, 0]",42.651826135527706
"[3, 2, 20, 100, 0]",42.692536972401605
"[3, 1, 30, 50, 0]",42.72935519853562
"[3, 1, 10, 100, 0]",42.74864163987877
"[5, 2, 10, 100, 0]",42.76952624936172
"[5, 2, 30, 50, 0]",42.77567183172161
"[3, 2, 10, 50, 0]",42.836022264464695
"[5, 1, 30, 50, 0]",42.86051300110379
"[3, 1, 20, 100, 0]",43.05459610349133
"[3, 1, 20, 50, 0]",43.11787538976305
"[3, 2, 20, 50, 0]",43.127516817104556
"[3, 1, 10, 50, 0]",43.13442526631376
"[3, 2, 30, 50, 0]",43.155821442727095
"[3, 2, 30, 100, 0]",43.22932300697973
"[3, 1, 30, 100, 0]",43.468900511806375
"[5, 2, 30, 100, 0]",43.47913999895039
"[3, 1, 20, 100, 0.1]",44.54276465648116
"[3, 1, 30, 100, 0.1]",45.78179327253009
"[5, 1, 20, 100, 0.1]",46.32111800658535
"[3, 1, 30, 50, 0.1]",47.556000066204284
"[5, 1, 10, 100, 0.1]",48.50636870584072
"[5, 1, 30, 100, 0.1]",48.74321648416861
"[3, 1, 10, 100, 0.1]",49.13671401431693
"[3, 1, 10, 50, 0.1]",49.392389342449064
"[5, 1, 20, 50, 0.1]",49.74526553924638
"[5, 1, 10, 50, 0.1]",51.06953824798097
"[5, 1, 30, 50, 0.1]",51.27604750417342
"[3, 1, 20, 50, 0.1]",51.637646296242025
"[5, 1, 30, 100, 0.2]",55.89210662188831
"[5, 2, 30, 100, 0.1]",56.11301940993243
"[3, 1, 30, 50, 0.2]",56.250752262870684
"[5, 2, 20, 50, 0.1]",56.934765003697116
"[3, 1, 30, 100, 0.2]",57.45506740978317
"[3, 2, 20, 50, 0.1]",57.49218396570914
"[5, 1, 20, 50, 0.2]",57.55244605410433
"[3, 2, 10, 100, 0.1]",57.79774978692945
"[5, 1, 30, 50, 0.2]",58.20842426879011
"[3, 2, 20, 100, 0.1]",58.50599042063192
"[5, 1, 30, 50, 0.3]",59.973255625872945
"[3, 2, 10, 50, 0.1]",60.09953138049377
"[5, 2, 20, 100, 0.1]",60.57561112320803
"[5, 1, 20, 100, 0.2]",60.74524375544835
"[5, 2, 10, 50, 0.1]",61.215353476438736
"[5, 1, 10, 50, 0.2]",61.44870266572509
"[3, 2, 30, 100, 0.1]",61.466756575304515
"[5, 2, 10, 100, 0.1]",61.79552207572912
"[3, 1, 30, 50, 0.3]",61.80749270874902
"[3, 1, 20, 100, 0.3]",61.844051008646545
"[5, 2, 30, 50, 0.1]",62.98145905951322
"[3, 1, 20, 50, 0.2]",63.04832469039595
"[3, 1, 10, 100, 0.2]",63.629159680230856
"[3, 2, 30, 50, 0.1]",63.7222895107534
"[3, 1, 30, 100, 0.3]",64.31934122397945
"[5, 1, 10, 100, 0.2]",64.93605787357161
"[3, 1, 20, 100, 0.2]",65.64814566133124
"[3, 1, 10, 50, 0.2]",66.47930345744508
"[5, 1, 30, 100, 0.3]",68.6241796944258
"[5, 1, 20, 100, 0.3]",69.59437743223737
"[3, 1, 20, 50, 0.3]",70.43745970627248
"[5, 1, 20, 50, 0.3]",73.557239531406
"[5, 1, 10, 100, 0.3]",77.21095720748797
"[3, 1, 10, 50, 0.3]",78.17041795332544
"[5, 1, 10, 50, 0.3]",79.58652289923417
"[3, 2, 30, 100, 0.2]",80.4675026314617
"[3, 2, 20, 50, 0.2]",83.14307993699641
"[3, 1, 10, 100, 0.3]",84.14146746953463
"[3, 2, 10, 50, 0.2]",84.97408724184929
"[5, 2, 20, 100, 0.2]",86.16524457701392
"[5, 2, 30, 50, 0.2]",86.60735067387947
"[5, 2, 30, 100, 0.2]",86.82504640211162
"[3, 2, 30, 50, 0.2]",87.65214648758149
"[3, 2, 10, 100, 0.2]",87.90265853338916
"[5, 2, 10, 50, 0.2]",88.57827379166015
"[5, 2, 20, 50, 0.2]",89.16322867223676
"[3, 2, 20, 100, 0.2]",91.01360414227224
"[5, 2, 10, 100, 0.2]",91.629465348829
"[5, 2, 30, 100, 0.3]",92.88128631721406
"[3, 2, 30, 100, 0.3]",100.97114076790274
"[3, 2, 20, 100, 0.3]",101.93890663548909
"[3, 2, 30, 50, 0.3]",104.7646229226677
"[3, 2, 20, 50, 0.3]",106.25675876505994
"[5, 2, 30, 50, 0.3]",108.42521104666821
"[5, 2, 20, 100, 0.3]",109.43762243515111
"[5, 2, 20, 50, 0.3]",111.37488768255194
"[5, 2, 10, 50, 0.3]",112.4910974658399
"[3, 2, 10, 100, 0.3]",112.65254397990957
"[3, 2, 10, 50, 0.3]",114.08248780664219
"[5, 2, 10, 100, 0.3]",120.92351014221875
